Identificador URL;Nome;Categorias;Nome da variação 1;Valor da variação 1;Nome da variação 2;Valor da variação 2;Nome da variação 3;Valor da variação 3;Preço;Preço promocional;Peso (kg);Altura (cm);Largura (cm);Comprimento (cm);Estoque;SKU;Código de barras;Exibir na loja;Frete gratis;Descrição;Tags;Título para SEO;Descrição para SEO;Marca;Produto Físico;MPN (Cód. Exclusivo Modelo Fabricante);Sexo;Faixa etária;Custo
guia-de-cabo-tecnico-com-clipe-para-bancada-maker;Guia de Cabo Técnico com Clipe para bancada maker;Peças Técnicas e Sob Medida;Material;PLA Premium;Cor;Sob consulta;Prazo;3 a 5 dias;14.84;;;;;;10;MDH3D-0011;;SIM;NÃO;<p><strong>Guia de Cabo Técnico com Clipe para bancada maker</strong> produzido pela MDH3D em impressão 3D, com produção local no Rio de Janeiro.</p><p>Produto da categoria <strong>Peças Técnicas e Sob Medida</strong>, feito em PLA Premium com acabamento técnico. Indicado para presente, organização, decoração, setup ou uso funcional, conforme o modelo.</p><p><strong>Prazo de produção:</strong> 3 a 5 dias. <strong>Personalização:</strong> Consultar. Confirme cor, escala, acabamento e urgência pelo WhatsApp antes de fechar pedidos personalizados.</p><p>Produto físico sob encomenda. Frete e prazo final são confirmados no checkout ou no atendimento da MDH3D.</p>;MDH3D, impressão 3D, PLA Premium, produção local RJ, cabo,tecnico,maker,oficina;Guia de Cabo Técnico com Clipe para bancada maker | Impressão 3D MDH3D;Guia de Cabo Técnico com Clipe para bancada maker em impressão 3D pela MDH3D. Produto físico sob encomenda em Peças Técnicas e Sob Medida, com produção local no RJ e prazo de 3 a 5 dias.;MDH3D;SIM;MDH3D-0011;;;
organizador-de-canetas;Organizador de Canetas;Setup Gamer e Home Office;Material;PLA Premium;Cor;Sob consulta;Prazo;24h a 48h;8.41;;;;;;10;MDH3D-0012;;SIM;NÃO;<p><strong>Organizador de Canetas</strong> produzido pela MDH3D em impressão 3D, com produção local no Rio de Janeiro.</p><p>Produto da categoria <strong>Setup Gamer e Home Office</strong>, feito em PLA Premium com acabamento premium. Indicado para presente, organização, decoração, setup ou uso funcional, conforme o modelo.</p><p><strong>Prazo de produção:</strong> 24h a 48h. <strong>Personalização:</strong> Sim. Confirme cor, escala, acabamento e urgência pelo WhatsApp antes de fechar pedidos personalizados.</p><p>Produto físico sob encomenda. Frete e prazo final são confirmados no checkout ou no atendimento da MDH3D.</p>;MDH3D, impressão 3D, PLA Premium, produção local RJ, canetas,mesa,escritorio,setup;Organizador de Canetas | Impressão 3D MDH3D;Organizador de Canetas em impressão 3D pela MDH3D. Produto físico sob encomenda em Setup Gamer e Home Office, com produção local no RJ e prazo de 24h a 48h.;MDH3D;SIM;MDH3D-0012;;;
acessorio-leve-para-pet-modular-para-identificacao;Acessório Leve para Pet Modular para identificação;Casa e Organização;Material;PLA Premium;Cor;Sob consulta;Prazo;3 a 5 dias;5.66;;;;;;10;MDH3D-0013;;SIM;NÃO;<p><strong>Acessório Leve para Pet Modular para identificação</strong> produzido pela MDH3D em impressão 3D, com produção local no Rio de Janeiro.</p><p>Produto da categoria <strong>Casa e Organização</strong>, feito em PLA Premium com acabamento premium. Indicado para presente, organização, decoração, setup ou uso funcional, conforme o modelo.</p><p><strong>Prazo de produção:</strong> 3 a 5 dias. <strong>Personalização:</strong> Consultar. Confirme cor, escala, acabamento e urgência pelo WhatsApp antes de fechar pedidos personalizados.</p><p>Produto físico sob encomenda. Frete e prazo final são confirmados no checkout ou no atendimento da MDH3D.</p>;MDH3D, impressão 3D, PLA Premium, produção local RJ, pet,identificacao,leve;Acessório Leve para Pet Modular para identificação | Impressão 3D MDH3D;Acessório Leve para Pet Modular para identificação em impressão 3D pela MDH3D. Produto físico sob encomenda em Casa e Organização, com produção local no RJ e prazo de 3 a 5 dias.;MDH3D;SIM;MDH3D-0013;;;
acessorio-leve-para-pet-ajustavel-para-identificacao;Acessório Leve para Pet Ajustável para identificação;Casa e Organização;Material;PLA Premium;Cor;Sob consulta;Prazo;3 a 5 dias;5.66;;;;;;10;MDH3D-0014;;SIM;NÃO;<p><strong>Acessório Leve para Pet Ajustável para identificação</strong> produzido pela MDH3D em impressão 3D, com produção local no Rio de Janeiro.</p><p>Produto da categoria <strong>Casa e Organização</strong>, feito em PLA Premium com acabamento premium. Indicado para presente, organização, decoração, setup ou uso funcional, conforme o modelo.</p><p><strong>Prazo de produção:</strong> 3 a 5 dias. <strong>Personalização:</strong> Consultar. Confirme cor, escala, acabamento e urgência pelo WhatsApp antes de fechar pedidos personalizados.</p><p>Produto físico sob encomenda. Frete e prazo final são confirmados no checkout ou no atendimento da MDH3D.</p>;MDH3D, impressão 3D, PLA Premium, produção local RJ, pet,ajustavel,identificacao;Acessório Leve para Pet Ajustável para identificação | Impressão 3D MDH3D;Acessório Leve para Pet Ajustável para identificação em impressão 3D pela MDH3D. Produto físico sob encomenda em Casa e Organização, com produção local no RJ e prazo de 3 a 5 dias.;MDH3D;SIM;MDH3D-0014;;;
tag-para-pet-dobravel-para-rotina-do-pet;Tag para Pet Dobrável para rotina do pet;Chaveiros e Acessórios;Material;PLA Premium;Cor;Sob consulta;Prazo;3 a 5 dias;5.66;;;;;;10;MDH3D-0015;;SIM;NÃO;<p><strong>Tag para Pet Dobrável para rotina do pet</strong> produzido pela MDH3D em impressão 3D, com produção local no Rio de Janeiro.</p><p>Produto da categoria <strong>Chaveiros e Acessórios</strong>, feito em PLA Premium com acabamento premium. Indicado para presente, organização, decoração, setup ou uso funcional, conforme o modelo.</p><p><strong>Prazo de produção:</strong> 3 a 5 dias. <strong>Personalização:</strong> Consultar. Confirme cor, escala, acabamento e urgência pelo WhatsApp antes de fechar pedidos personalizados.</p><p>Produto físico sob encomenda. Frete e prazo final são confirmados no checkout ou no atendimento da MDH3D.</p>;MDH3D, impressão 3D, PLA Premium, produção local RJ, pet,dobravel,chaveiro;Tag para Pet Dobrável para rotina do pet | Impressão 3D MDH3D;Tag para Pet Dobrável para rotina do pet em impressão 3D pela MDH3D. Produto físico sob encomenda em Chaveiros e Acessórios, com produção local no RJ e prazo de 3 a 5 dias.;MDH3D;SIM;MDH3D-0015;;;
acessorio-leve-para-pet-de-bancada-para-identificacao;Acessório Leve para Pet de Bancada para identificação;Casa e Organização;Material;PLA Premium;Cor;Sob consulta;Prazo;3 a 5 dias;5.66;;;;;;10;MDH3D-0016;;SIM;NÃO;<p><strong>Acessório Leve para Pet de Bancada para identificação</strong> produzido pela MDH3D em impressão 3D, com produção local no Rio de Janeiro.</p><p>Produto da categoria <strong>Casa e Organização</strong>, feito em PLA Premium com acabamento premium. Indicado para presente, organização, decoração, setup ou uso funcional, conforme o modelo.</p><p><strong>Prazo de produção:</strong> 3 a 5 dias. <strong>Personalização:</strong> Consultar. Confirme cor, escala, acabamento e urgência pelo WhatsApp antes de fechar pedidos personalizados.</p><p>Produto físico sob encomenda. Frete e prazo final são confirmados no checkout ou no atendimento da MDH3D.</p>;MDH3D, impressão 3D, PLA Premium, produção local RJ, pet,bancada,identificacao;Acessório Leve para Pet de Bancada para identificação | Impressão 3D MDH3D;Acessório Leve para Pet de Bancada para identificação em impressão 3D pela MDH3D. Produto físico sob encomenda em Casa e Organização, com produção local no RJ e prazo de 3 a 5 dias.;MDH3D;SIM;MDH3D-0016;;;
porta-lapis-modular-para-kit-presente-para-mesa-limpa;Porta-Lápis Modular para Kit Presente para mesa limpa;Setup Gamer e Home Office;Material;PLA Premium;Cor;Sob consulta;Prazo;3 a 5 dias;6.58;;;;;;10;MDH3D-0017;;SIM;NÃO;<p><strong>Porta-Lápis Modular para Kit Presente para mesa limpa</strong> produzido pela MDH3D em impressão 3D, com produção local no Rio de Janeiro.</p><p>Produto da categoria <strong>Setup Gamer e Home Office</strong>, feito em PLA Premium com acabamento premium. Indicado para presente, organização, decoração, setup ou uso funcional, conforme o modelo.</p><p><strong>Prazo de produção:</strong> 3 a 5 dias. <strong>Personalização:</strong> Consultar. Confirme cor, escala, acabamento e urgência pelo WhatsApp antes de fechar pedidos personalizados.</p><p>Produto físico sob encomenda. Frete e prazo final são confirmados no checkout ou no atendimento da MDH3D.</p>;MDH3D, impressão 3D, PLA Premium, produção local RJ, porta-lapis,mesa,kit-presente;Porta-Lápis Modular para Kit Presente para mesa limpa | Impressão 3D MDH3D;Porta-Lápis Modular para Kit Presente para mesa limpa em impressão 3D pela MDH3D. Produto físico sob encomenda em Setup Gamer e Home Office, com produção local no RJ e prazo de 3 a 5 dias.;MDH3D;SIM;MDH3D-0017;;;
pingente-de-mochila-slim-para-brinde-geek;Pingente de Mochila Slim para brinde geek;Chaveiros e Acessórios;Material;PLA Premium;Cor;Sob consulta;Prazo;3 a 5 dias;6.58;;;;;;10;MDH3D-0018;;SIM;NÃO;<p><strong>Pingente de Mochila Slim para brinde geek</strong> produzido pela MDH3D em impressão 3D, com produção local no Rio de Janeiro.</p><p>Produto da categoria <strong>Chaveiros e Acessórios</strong>, feito em PLA Premium com acabamento premium. Indicado para presente, organização, decoração, setup ou uso funcional, conforme o modelo.</p><p><strong>Prazo de produção:</strong> 3 a 5 dias. <strong>Personalização:</strong> Consultar. Confirme cor, escala, acabamento e urgência pelo WhatsApp antes de fechar pedidos personalizados.</p><p>Produto físico sob encomenda. Frete e prazo final são confirmados no checkout ou no atendimento da MDH3D.</p>;MDH3D, impressão 3D, PLA Premium, produção local RJ, pingente,mochila,brinde,geek;Pingente de Mochila Slim para brinde geek | Impressão 3D MDH3D;Pingente de Mochila Slim para brinde geek em impressão 3D pela MDH3D. Produto físico sob encomenda em Chaveiros e Acessórios, com produção local no RJ e prazo de 3 a 5 dias.;MDH3D;SIM;MDH3D-0018;;;
pingente-de-mochila-de-encaixe-para-brinde-geek;Pingente de Mochila de Encaixe para brinde geek;Chaveiros e Acessórios;Material;PLA Premium;Cor;Sob consulta;Prazo;3 a 5 dias;6.58;;;;;;10;MDH3D-0019;;SIM;NÃO;<p><strong>Pingente de Mochila de Encaixe para brinde geek</strong> produzido pela MDH3D em impressão 3D, com produção local no Rio de Janeiro.</p><p>Produto da categoria <strong>Chaveiros e Acessórios</strong>, feito em PLA Premium com acabamento premium. Indicado para presente, organização, decoração, setup ou uso funcional, conforme o modelo.</p><p><strong>Prazo de produção:</strong> 3 a 5 dias. <strong>Personalização:</strong> Consultar. Confirme cor, escala, acabamento e urgência pelo WhatsApp antes de fechar pedidos personalizados.</p><p>Produto físico sob encomenda. Frete e prazo final são confirmados no checkout ou no atendimento da MDH3D.</p>;MDH3D, impressão 3D, PLA Premium, produção local RJ, pingente,mochila,encaixe,geek;Pingente de Mochila de Encaixe para brinde geek | Impressão 3D MDH3D;Pingente de Mochila de Encaixe para brinde geek em impressão 3D pela MDH3D. Produto físico sob encomenda em Chaveiros e Acessórios, com produção local no RJ e prazo de 3 a 5 dias.;MDH3D;SIM;MDH3D-0019;;;
grinder-3-partes-premium;Grinder 3 Partes Premium;Casa e Organização;Material;PLA Premium;Cor;Sob consulta;Prazo;2 a 4 dias;13.00;;;;;;10;MDH3D-0020;;SIM;NÃO;<p><strong>Grinder 3 Partes Premium</strong> produzido pela MDH3D em impressão 3D, com produção local no Rio de Janeiro.</p><p>Produto da categoria <strong>Casa e Organização</strong>, feito em PLA Premium com acabamento fosco. Indicado para presente, organização, decoração, setup ou uso funcional, conforme o modelo.</p><p><strong>Prazo de produção:</strong> 2 a 4 dias. <strong>Personalização:</strong> Sim. Confirme cor, escala, acabamento e urgência pelo WhatsApp antes de fechar pedidos personalizados.</p><p>Produto físico sob encomenda. Frete e prazo final são confirmados no checkout ou no atendimento da MDH3D.</p>;MDH3D, impressão 3D, PLA Premium, produção local RJ, grinder,organizacao,casa;Grinder 3 Partes Premium | Impressão 3D MDH3D;Grinder 3 Partes Premium em impressão 3D pela MDH3D. Produto físico sob encomenda em Casa e Organização, com produção local no RJ e prazo de 2 a 4 dias.;MDH3D;SIM;MDH3D-0020;;;
case-de-isqueiro-caveira;Case de Isqueiro Caveira;Casa e Organização;Material;PLA Premium;Cor;Sob consulta;Prazo;3 a 5 dias;8.41;;;;;;10;MDH3D-0021;;SIM;NÃO;<p><strong>Case de Isqueiro Caveira</strong> produzido pela MDH3D em impressão 3D, com produção local no Rio de Janeiro.</p><p>Produto da categoria <strong>Casa e Organização</strong>, feito em PLA Premium com acabamento premium. Indicado para presente, organização, decoração, setup ou uso funcional, conforme o modelo.</p><p><strong>Prazo de produção:</strong> 3 a 5 dias. <strong>Personalização:</strong> Consultar. Confirme cor, escala, acabamento e urgência pelo WhatsApp antes de fechar pedidos personalizados.</p><p>Produto físico sob encomenda. Frete e prazo final são confirmados no checkout ou no atendimento da MDH3D.</p>;MDH3D, impressão 3D, PLA Premium, produção local RJ, isqueiro,caveira,case;Case de Isqueiro Caveira | Impressão 3D MDH3D;Case de Isqueiro Caveira em impressão 3D pela MDH3D. Produto físico sob encomenda em Casa e Organização, com produção local no RJ e prazo de 3 a 5 dias.;MDH3D;SIM;MDH3D-0021;;;
suporte-para-fone-headphone;Suporte para Fone Headphone;Setup Gamer e Home Office;Material;PLA Premium;Cor;Sob consulta;Prazo;24h a 48h;13.00;;;;;;10;MDH3D-0022;;SIM;NÃO;<p><strong>Suporte para Fone Headphone</strong> produzido pela MDH3D em impressão 3D, com produção local no Rio de Janeiro.</p><p>Produto da categoria <strong>Setup Gamer e Home Office</strong>, feito em PLA Premium com acabamento premium. Indicado para presente, organização, decoração, setup ou uso funcional, conforme o modelo.</p><p><strong>Prazo de produção:</strong> 24h a 48h. <strong>Personalização:</strong> Consultar. Confirme cor, escala, acabamento e urgência pelo WhatsApp antes de fechar pedidos personalizados.</p><p>Produto físico sob encomenda. Frete e prazo final são confirmados no checkout ou no atendimento da MDH3D.</p>;MDH3D, impressão 3D, PLA Premium, produção local RJ, fone,headphone,suporte,setup;Suporte para Fone Headphone | Impressão 3D MDH3D;Suporte para Fone Headphone em impressão 3D pela MDH3D. Produto físico sob encomenda em Setup Gamer e Home Office, com produção local no RJ e prazo de 24h a 48h.;MDH3D;SIM;MDH3D-0022;;;
organizador-de-cabos;Organizador de Cabos;Setup Gamer e Home Office;Material;PLA Premium;Cor;Sob consulta;Prazo;24h a 48h;7.49;;;;;;10;MDH3D-0023;;SIM;NÃO;<p><strong>Organizador de Cabos</strong> produzido pela MDH3D em impressão 3D, com produção local no Rio de Janeiro.</p><p>Produto da categoria <strong>Setup Gamer e Home Office</strong>, feito em PLA Premium com acabamento premium. Indicado para presente, organização, decoração, setup ou uso funcional, conforme o modelo.</p><p><strong>Prazo de produção:</strong> 24h a 48h. <strong>Personalização:</strong> Consultar. Confirme cor, escala, acabamento e urgência pelo WhatsApp antes de fechar pedidos personalizados.</p><p>Produto físico sob encomenda. Frete e prazo final são confirmados no checkout ou no atendimento da MDH3D.</p>;MDH3D, impressão 3D, PLA Premium, produção local RJ, cabos,organizador,setup;Organizador de Cabos | Impressão 3D MDH3D;Organizador de Cabos em impressão 3D pela MDH3D. Produto físico sob encomenda em Setup Gamer e Home Office, com produção local no RJ e prazo de 24h a 48h.;MDH3D;SIM;MDH3D-0023;;;
