id,slug,name,category,material,visualKind,imageCount,isPlaceholder,semanticScore,finalScore,status,mediaStatus,reason
mdh-017,mdh-017-suporte-para-controle-ps5,"Suporte para Controle PS5","Setup & Organização",PLA Premium,imagem-conceitual,4,true,0.91,0,BLOCKED,placeholder,"All 4 images are placeholder text cards (uniform_size_text_card)"
mdh-018,mdh-018-suporte-para-controle-xbox,"Suporte para Controle Xbox","Setup & Organização",PLA Premium,imagem-conceitual,4,true,0.91,0,BLOCKED,placeholder,"All 4 images are placeholder text cards (uniform_size_text_card)"
mdh-019,mdh-019-porta-copos-geek,"Porta-Copos Geek","Setup & Organização",PLA Premium,imagem-conceitual,4,true,0.91,0,BLOCKED,placeholder,"All 4 images are placeholder text cards (uniform_size_text_card)"
mdh-020,mdh-020-ima-de-geladeira,"Imã de Geladeira","Setup & Organização",PLA Premium,imagem-conceitual,4,true,0.9,0,BLOCKED,placeholder,"All 4 images are placeholder text cards (uniform_size_text_card)"
mdh-021,mdh-021-suporte-para-mouse,"Suporte para Mouse","Setup & Organização",PLA Premium,imagem-conceitual,4,true,0.9,0,BLOCKED,placeholder,"All 4 images are placeholder text cards (uniform_size_text_card)"
mdh-022,mdh-022-organizador-de-canetas,"Organizador de Canetas","Setup & Organização",PLA Premium,imagem-conceitual,4,true,0.9,0,BLOCKED,placeholder,"All 4 images are placeholder text cards (uniform_size_text_card)"
mdh-023,mdh-023-suporte-para-teclado,"Suporte para Teclado","Setup & Organização",PLA Premium,imagem-conceitual,4,true,0.9,0,BLOCKED,placeholder,"All 4 images are placeholder text cards (uniform_size_text_card)"
mdh-024,mdh-024-gancho-para-parede,"Gancho para Parede","Setup & Organização",PLA Premium,imagem-conceitual,4,true,0.9,0,BLOCKED,placeholder,"All 4 images are placeholder text cards (uniform_size_text_card)"
mdh-025,mdh-025-vaso-geometrico,"Vaso Geométrico","Casa & Decoração",PLA Premium,imagem-conceitual,4,true,0.82,0,BLOCKED,placeholder,"All 4 images are placeholder text cards (uniform_size_text_card)"
mdh-026,mdh-026-pokebola,"Pokébola","Casa & Decoração",PLA Premium,imagem-conceitual,4,true,0.8,0,BLOCKED,placeholder,"All 4 images are placeholder text cards (uniform_size_text_card)"
mdh-027,mdh-027-busto-colecionavel-anime,"Busto Colecionável Anime","Casa & Decoração",PLA Premium,imagem-conceitual,4,true,0.83,0,BLOCKED,placeholder,"All 4 images are placeholder text cards (uniform_size_text_card)"
mdh-028,mdh-028-luminaria-led-personalizada,"Luminária LED Personalizada","Casa & Decoração",PLA Premium,imagem-conceitual,4,true,0.82,0,BLOCKED,placeholder,"All 4 images are placeholder text cards (uniform_size_text_card)"
mdh-029,mdh-029-foto-litofania,"Foto Litofania","Casa & Decoração",PLA Premium,imagem-conceitual,4,true,0.82,0,BLOCKED,placeholder,"All 4 images are placeholder text cards (uniform_size_text_card)"
mdh-030,mdh-030-quadro-decorativo,"Quadro Decorativo","Casa & Decoração",PLA Premium,imagem-conceitual,4,true,0.82,0,BLOCKED,placeholder,"All 4 images are placeholder text cards (uniform_size_text_card)"
mdh-031,mdh-031-escultura-abstrata,"Escultura Abstrata","Casa & Decoração",PLA Premium,imagem-conceitual,4,true,0.82,0,BLOCKED,placeholder,"All 4 images are placeholder text cards (uniform_size_text_card)"
mdh-032,mdh-032-porta-velhas,"Porta-Velhas","Casa & Decoração",PLA Premium,imagem-conceitual,4,true,0.82,0,BLOCKED,placeholder,"All 4 images are placeholder text cards (uniform_size_text_card)"
mdh-033,mdh-033-relogio-de-parede,"Relógio de Parede","Casa & Decoração",PLA Premium,imagem-conceitual,4,true,0.82,0,BLOCKED,placeholder,"All 4 images are placeholder text cards (uniform_size_text_card)"
mdh-034,mdh-034-jarro-decorativo,"Jarro Decorativo","Casa & Decoração",PLA Premium,imagem-conceitual,4,true,0.82,0,BLOCKED,placeholder,"All 4 images are placeholder text cards (uniform_size_text_card)"
mdh-035,mdh-035-prateleira-suspensa,"Prateleira Suspensa","Casa & Decoração",PLA Premium,imagem-conceitual,4,true,0.82,0,BLOCKED,placeholder,"All 4 images are placeholder text cards (uniform_size_text_card)"
mdh-036,mdh-036-espelho-decorativo,"Espelho Decorativo","Casa & Decoração",PLA Premium,imagem-conceitual,4,true,0.82,0,BLOCKED,placeholder,"All 4 images are placeholder text cards (uniform_size_text_card)"
mdh-037,mdh-037-chaveiro-nome-dupla-face,"Chaveiro Nome Dupla Face","Presentes Criativos",PLA Premium,imagem-conceitual,4,true,0.82,0,BLOCKED,placeholder,"All 4 images are placeholder text cards (uniform_size_text_card)"
mdh-038,mdh-038-nome-3d-personalizado,"Nome 3D Personalizado","Presentes Criativos",PLA Premium,imagem-conceitual,4,true,0.8,0,BLOCKED,placeholder,"All 4 images are placeholder text cards (uniform_size_text_card)"
mdh-039,mdh-039-caixa-de-musica,"Caixa de Música","Presentes Criativos",PLA Premium,imagem-conceitual,4,true,0.82,0,BLOCKED,placeholder,"All 4 images are placeholder text cards (uniform_size_text_card)"
mdh-040,mdh-040-porta-retrato-personalizado,"Porta-Retrato Personalizado","Presentes Criativos",PLA Premium,imagem-conceitual,4,true,0.82,0,BLOCKED,placeholder,"All 4 images are placeholder text cards (uniform_size_text_card)"
mdh-041,mdh-041-aniversario-3d,"Aniversário 3D","Presentes Criativos",PLA Premium,imagem-conceitual,4,true,0.8,0,BLOCKED,placeholder,"All 4 images are placeholder text cards (uniform_size_text_card)"
mdh-042,mdh-042-mensagem-em-3d,"Mensagem em 3D","Presentes Criativos",PLA Premium,imagem-conceitual,4,true,0.8,0,BLOCKED,placeholder,"All 4 images are placeholder text cards (uniform_size_text_card)"
mdh-043,mdh-043-mini-trofeu-personalizado,"Mini Troféu Personalizado","Presentes Criativos",PLA Premium,imagem-conceitual,4,true,0.82,0,BLOCKED,placeholder,"All 4 images are placeholder text cards (uniform_size_text_card)"
mdh-044,mdh-044-marcador-de-pagina-3d,"Marcador de Página 3D","Presentes Criativos",PLA Premium,imagem-conceitual,4,true,0.82,0,BLOCKED,placeholder,"All 4 images are placeholder text cards (uniform_size_text_card)"
mdh-045,mdh-045-abracadeira-personalizada,"Abraçadeira Personalizada","Presentes Criativos",PLA Premium,imagem-conceitual,4,true,0.8,0,BLOCKED,placeholder,"All 4 images are placeholder text cards (uniform_size_text_card)"
mdh-046,mdh-046-pingente-personalizado,"Pingente Personalizado","Presentes Criativos",PLA Premium,imagem-conceitual,4,true,0.8,0,BLOCKED,placeholder,"All 4 images are placeholder text cards (uniform_size_text_card)"
mdh-047,mdh-047-calendario-3d,"Calendário 3D","Presentes Criativos",PLA Premium,imagem-conceitual,4,true,0.8,0,BLOCKED,placeholder,"All 4 images are placeholder text cards (uniform_size_text_card)"
mdh-048,mdh-048-copo-personalizado,"Copo Personalizado","Presentes Criativos",PLA Premium,imagem-conceitual,4,true,0.8,0,BLOCKED,placeholder,"All 4 images are placeholder text cards (uniform_size_text_card)"
mdh-049,mdh-049-suporte-para-monitor,"Suporte para Monitor","Utilidades Reais",PLA Premium,render-fiel,1,false,0.36,0.36,BLOCKED,needs_review,"Could not determine with confidence >= 0.99"
mdh-050,mdh-050-organizador-de-cabo-usb,"Organizador de Cabo USB","Utilidades Reais",PLA Premium,foto-real,4,false,0.83,1,APPROVED,verified,"Real photo/render with matching semantics"
mdh-051,mdh-051-gancho-para-chaves,"Gancho para Chaves","Utilidades Reais",PLA Premium,foto-real,4,false,0.8,1,APPROVED,verified,"Real photo/render with matching semantics"
mdh-052,mdh-052-suporte-para-livros,"Suporte para Livros","Utilidades Reais",PLA Premium,foto-real,4,false,0.82,1,APPROVED,verified,"Real photo/render with matching semantics"
mdh-053,mdh-053-caixa-organizadora,"Caixa Organizadora","Utilidades Reais",PLA Premium,foto-real,4,false,0.82,1,APPROVED,verified,"Real photo/render with matching semantics"
mdh-054,mdh-054-suporte-para-plantas,"Suporte para Plantas","Utilidades Reais",PLA Premium,foto-real,4,false,0.82,1,APPROVED,verified,"Real photo/render with matching semantics"
mdh-055,mdh-055-prateleira-flutuante,"Prateleira Flutuante","Utilidades Reais",PLA Premium,foto-real,4,false,0.82,1,APPROVED,verified,"Real photo/render with matching semantics"
mdh-056,mdh-056-suporte-para-bicicleta,"Suporte para Bicicleta","Utilidades Reais",PLA Premium,foto-real,4,false,0.82,1,APPROVED,verified,"Real photo/render with matching semantics"
mdh-057,mdh-057-organizador-de-maquiagem,"Organizador de Maquiagem","Utilidades Reais",PLA Premium,imagem-conceitual,4,true,0.82,0,BLOCKED,placeholder,"All 4 images are placeholder text cards (uniform_size_text_card)"
mdh-058,mdh-058-suporte-para-tablet,"Suporte para Tablet","Utilidades Reais",PLA Premium,foto-real,4,true,0.82,0,BLOCKED,placeholder,"All 4 images are placeholder text cards (uniform_size_text_card)"
mdh-059,mdh-059-caixa-para-joias,"Caixa para Joias","Utilidades Reais",PLA Premium,foto-real,4,false,0.82,1,APPROVED,verified,"Real photo/render with matching semantics"
mdh-060,mdh-060-suporte-para-garrafa,"Suporte para Garrafa","Utilidades Reais",PLA Premium,imagem-conceitual,4,true,0.82,0,BLOCKED,placeholder,"All 4 images are placeholder text cards (uniform_size_text_card)"
mdh-061,mdh-061-naruto-uzumaki-chibi,"Naruto Uzumaki Chibi","Geek & Colecionáveis",PLA Premium,imagem-conceitual,4,true,0.83,0,BLOCKED,placeholder,"All 4 images are placeholder text cards (uniform_size_text_card)"
mdh-062,mdh-062-sasuke-uchiha-chibi,"Sasuke Uchiha Chibi","Geek & Colecionáveis",PLA Premium,imagem-conceitual,3,false,0.42,0.5,FIX_TEXT,probable,"Has real images but classified as imagem-conceitual — reclassify visualKind"
mdh-063,mdh-063-goku-dragon-ball-chibi,"Goku Dragon Ball Chibi","Geek & Colecionáveis",PLA Premium,imagem-conceitual,3,false,0.46,0.5,FIX_TEXT,probable,"Has real images but classified as imagem-conceitual — reclassify visualKind"
mdh-064,mdh-064-luffy-one-piece-chibi,"Luffy One Piece Chibi","Geek & Colecionáveis",PLA Premium,foto-real,4,false,0.85,1,APPROVED,verified,"Real photo/render with matching semantics"
mdh-065,mdh-065-elsa-frozen-chibi,"Elsa Frozen Chibi","Geek & Colecionáveis",PLA Premium,foto-real,4,false,0.83,1,APPROVED,verified,"Real photo/render with matching semantics"
mdh-066,mdh-066-totoro-my-neighbor-chibi,"Totoro My Neighbor Chibi","Geek & Colecionáveis",PLA Premium,foto-real,4,false,0.83,1,APPROVED,verified,"Real photo/render with matching semantics"
mdh-067,mdh-067-pikachu-pokemon-chibi,"Pikachu Pokémon Chibi","Geek & Colecionáveis",PLA Premium,foto-real,4,false,0.83,1,APPROVED,verified,"Real photo/render with matching semantics"
mdh-068,mdh-068-kirby-nintendo-chibi,"Kirby Nintendo Chibi","Geek & Colecionáveis",PLA Premium,foto-real,4,false,0.83,1,APPROVED,verified,"Real photo/render with matching semantics"
mdh-069,mdh-069-mario-nintendo-chibi,"Mario Nintendo Chibi","Geek & Colecionáveis",PLA Premium,foto-real,4,false,0.83,1,APPROVED,verified,"Real photo/render with matching semantics"
mdh-070,mdh-070-sonic-hedgehog-chibi,"Sonic Hedgehog Chibi","Geek & Colecionáveis",PLA Premium,foto-real,4,false,0.83,1,APPROVED,verified,"Real photo/render with matching semantics"
mdh-071,mdh-071-polvo-oceano-articulado,"Polvo Oceano Articulado","Geek & Colecionáveis",PLA Premium,foto-real,4,false,0.83,1,APPROVED,verified,"Real photo/render with matching semantics"
mdh-072,mdh-072-tubarao-oceano-mini,"Tubarão Oceano Mini","Geek & Colecionáveis",PLA Premium,foto-real,4,true,0.83,0,BLOCKED,placeholder,"All 4 images are placeholder text cards (uniform_size_text_card)"
mdh-073,mdh-073-dragao-oriental-articulado,"Dragão Oriental Articulado","Geek & Colecionáveis",PLA Premium,foto-real,4,false,0.83,1,APPROVED,verified,"Real photo/render with matching semantics"
mdh-074,mdh-074-dragao-europeu-mini,"Dragão Europeu Mini","Geek & Colecionáveis",PLA Premium,foto-real,4,true,0.83,0,BLOCKED,placeholder,"All 4 images are placeholder text cards (uniform_size_text_card)"
mdh-075,mdh-075-coruja-floresta-articulada,"Coruja Floresta Articulada","Geek & Colecionáveis",PLA Premium,foto-real,4,false,0.83,1,APPROVED,verified,"Real photo/render with matching semantics"
mdh-076,mdh-076-foguete-espacial-mini,"Foguete Espacial Mini","Geek & Colecionáveis",PLA Premium,imagem-conceitual,4,true,0.83,0,BLOCKED,placeholder,"All 4 images are placeholder text cards (uniform_size_text_card)"
mdh-077,mdh-077-cavaleiro-medieval-mini,"Cavaleiro Medieval Mini","Geek & Colecionáveis",PLA Premium,foto-real,4,false,0.83,1,APPROVED,verified,"Real photo/render with matching semantics"
mdh-078,mdh-078-robo-transformador-box,"Robô Transformador BOX","Geek & Colecionáveis",PLA Premium,foto-real,4,false,0.83,1,APPROVED,verified,"Real photo/render with matching semantics"
csv-cha-001,csv-cha-001-chaveiro-acrilico-premium-jett-valorant-dupla-face-para-mochila-chaves-e-setup-gamer,"Chaveiro Acrílico Premium Jett Valorant Dupla Face para Mochila, Chaves e Setup Gamer","Presentes Criativos",PLA Premium,imagem-conceitual,4,true,0.83,0,BLOCKED,placeholder,"All 4 images are placeholder text cards (uniform_size_text_card)"
csv-cha-002,csv-cha-002-chaveiro-emborrachado-reyna-valorant-estilo-gamer-resistente-para-chaves-e-mochila,"Chaveiro Emborrachado Reyna Valorant Estilo Gamer Resistente para Chaves e Mochila","Presentes Criativos",PLA Premium,imagem-conceitual,4,true,0.85,0,BLOCKED,placeholder,"All 4 images are placeholder text cards (uniform_size_text_card)"
csv-cha-003,csv-cha-003-chaveiro-metalizado-sage-valorant-edicao-nerd-para-colecao-e-presente-criativo,"Chaveiro Metalizado Sage Valorant Edição Nerd para Coleção e Presente Criativo","Presentes Criativos",PLA Premium,imagem-conceitual,4,true,1,0,BLOCKED,placeholder,"All 4 images are placeholder text cards (uniform_size_text_card)"
csv-cha-004,csv-cha-004-chaveiro-3d-omen-valorant-mini-pingente-decorativo-para-mochila-e-setup,"Chaveiro 3D Omen Valorant Mini Pingente Decorativo para Mochila e Setup","Presentes Criativos",PLA Premium,imagem-conceitual,4,true,0.87,0,BLOCKED,placeholder,"All 4 images are placeholder text cards (uniform_size_text_card)"
csv-cha-005,csv-cha-005-chaveiro-acrilico-premium-ahri-league-of-legends-dupla-face-para-mochila-chaves-e-setup-gamer,"Chaveiro Acrílico Premium Ahri League of Legends Dupla Face para Mochila, Chaves e Setup Gamer","Presentes Criativos",PLA Premium,imagem-conceitual,4,true,0.85,0,BLOCKED,placeholder,"All 4 images are placeholder text cards (uniform_size_text_card)"
csv-cha-006,csv-cha-006-chaveiro-emborrachado-yasuo-league-of-legends-estilo-gamer-resistente-para-chaves-e-mochila,"Chaveiro Emborrachado Yasuo League of Legends Estilo Gamer Resistente para Chaves e Mochila","Presentes Criativos",PLA Premium,imagem-conceitual,4,false,0.86,0.85,FIX_TEXT,probable,"Has real images but classified as imagem-conceitual — reclassify visualKind"
csv-cha-007,csv-cha-007-chaveiro-metalizado-jinx-league-of-legends-edicao-nerd-para-colecao-e-presente-criativo,"Chaveiro Metalizado Jinx League of Legends Edição Nerd para Coleção e Presente Criativo","Presentes Criativos",PLA Premium,imagem-conceitual,4,true,1,0,BLOCKED,placeholder,"All 4 images are placeholder text cards (uniform_size_text_card)"
csv-cha-008,csv-cha-008-chaveiro-3d-lux-league-of-legends-mini-pingente-decorativo-para-mochila-e-setup,"Chaveiro 3D Lux League of Legends Mini Pingente Decorativo para Mochila e Setup","Presentes Criativos",PLA Premium,imagem-conceitual,4,true,0.88,0,BLOCKED,placeholder,"All 4 images are placeholder text cards (uniform_size_text_card)"
csv-cha-009,csv-cha-009-chaveiro-acrilico-premium-ghost-call-of-duty-dupla-face-para-mochila-chaves-e-setup-gamer,"Chaveiro Acrílico Premium Ghost Call of Duty Dupla Face para Mochila, Chaves e Setup Gamer","Presentes Criativos",PLA Premium,imagem-conceitual,4,true,0.85,0,BLOCKED,placeholder,"All 4 images are placeholder text cards (uniform_size_text_card)"
csv-cha-010,csv-cha-010-chaveiro-emborrachado-soap-call-of-duty-estilo-gamer-resistente-para-chaves-e-mochila,"Chaveiro Emborrachado Soap Call of Duty Estilo Gamer Resistente para Chaves e Mochila","Presentes Criativos",PLA Premium,imagem-conceitual,4,true,0.86,0,BLOCKED,placeholder,"All 4 images are placeholder text cards (uniform_size_text_card)"
csv-cha-011,csv-cha-011-chaveiro-metalizado-task-force-call-of-duty-edicao-nerd-para-colecao-e-presente-criativo,"Chaveiro Metalizado Task Force Call of Duty Edição Nerd para Coleção e Presente Criativo","Presentes Criativos",PLA Premium,imagem-conceitual,4,true,1,0,BLOCKED,placeholder,"All 4 images are placeholder text cards (uniform_size_text_card)"
csv-cha-012,csv-cha-012-chaveiro-3d-warzone-call-of-duty-mini-pingente-decorativo-para-mochila-e-setup,"Chaveiro 3D Warzone Call of Duty Mini Pingente Decorativo para Mochila e Setup","Presentes Criativos",PLA Premium,imagem-conceitual,4,true,0.88,0,BLOCKED,placeholder,"All 4 images are placeholder text cards (uniform_size_text_card)"
csv-cha-013,csv-cha-013-chaveiro-acrilico-premium-creeper-minecraft-dupla-face-para-mochila-chaves-e-setup-gamer,"Chaveiro Acrílico Premium Creeper Minecraft Dupla Face para Mochila, Chaves e Setup Gamer","Presentes Criativos",PLA Premium,imagem-conceitual,4,true,0.83,0,BLOCKED,placeholder,"All 4 images are placeholder text cards (uniform_size_text_card)"
csv-cha-014,csv-cha-014-chaveiro-emborrachado-steve-minecraft-estilo-gamer-resistente-para-chaves-e-mochila,"Chaveiro Emborrachado Steve Minecraft Estilo Gamer Resistente para Chaves e Mochila","Presentes Criativos",PLA Premium,imagem-conceitual,4,true,0.85,0,BLOCKED,placeholder,"All 4 images are placeholder text cards (uniform_size_text_card)"
csv-cha-015,csv-cha-015-chaveiro-metalizado-alex-minecraft-edicao-nerd-para-colecao-e-presente-criativo,"Chaveiro Metalizado Alex Minecraft Edição Nerd para Coleção e Presente Criativo","Presentes Criativos",PLA Premium,imagem-conceitual,4,true,1,0,BLOCKED,placeholder,"All 4 images are placeholder text cards (uniform_size_text_card)"
csv-cha-016,csv-cha-016-chaveiro-3d-enderman-minecraft-mini-pingente-decorativo-para-mochila-e-setup,"Chaveiro 3D Enderman Minecraft Mini Pingente Decorativo para Mochila e Setup","Presentes Criativos",PLA Premium,imagem-conceitual,4,true,0.87,0,BLOCKED,placeholder,"All 4 images are placeholder text cards (uniform_size_text_card)"
csv-cha-017,csv-cha-017-chaveiro-acrilico-premium-lhama-fortnite-dupla-face-para-mochila-chaves-e-setup-gamer,"Chaveiro Acrílico Premium Lhama Fortnite Dupla Face para Mochila, Chaves e Setup Gamer","Presentes Criativos",PLA Premium,imagem-conceitual,4,true,0.83,0,BLOCKED,placeholder,"All 4 images are placeholder text cards (uniform_size_text_card)"
csv-cha-018,csv-cha-018-chaveiro-emborrachado-battle-royale-fortnite-estilo-gamer-resistente-para-chaves-e-mochila,"Chaveiro Emborrachado Battle Royale Fortnite Estilo Gamer Resistente para Chaves e Mochila","Presentes Criativos",PLA Premium,imagem-conceitual,4,true,0.86,0,BLOCKED,placeholder,"All 4 images are placeholder text cards (uniform_size_text_card)"
csv-cha-019,csv-cha-019-chaveiro-metalizado-victory-crown-fortnite-edicao-nerd-para-colecao-e-presente-criativo,"Chaveiro Metalizado Victory Crown Fortnite Edição Nerd para Coleção e Presente Criativo","Presentes Criativos",PLA Premium,imagem-conceitual,4,true,1,0,BLOCKED,placeholder,"All 4 images are placeholder text cards (uniform_size_text_card)"
csv-cha-020,csv-cha-020-chaveiro-3d-peely-fortnite-mini-pingente-decorativo-para-mochila-e-setup,"Chaveiro 3D Peely Fortnite Mini Pingente Decorativo para Mochila e Setup","Presentes Criativos",PLA Premium,imagem-conceitual,4,true,0.87,0,BLOCKED,placeholder,"All 4 images are placeholder text cards (uniform_size_text_card)"
csv-cha-021,csv-cha-021-chaveiro-acrilico-premium-awp-cs2-dupla-face-para-mochila-chaves-e-setup-gamer,"Chaveiro Acrílico Premium AWP CS2 Dupla Face para Mochila, Chaves e Setup Gamer","Presentes Criativos",PLA Premium,imagem-conceitual,4,true,0.83,0,BLOCKED,placeholder,"All 4 images are placeholder text cards (uniform_size_text_card)"
csv-cha-022,csv-cha-022-chaveiro-emborrachado-ak-47-cs2-estilo-gamer-resistente-para-chaves-e-mochila,"Chaveiro Emborrachado AK-47 CS2 Estilo Gamer Resistente para Chaves e Mochila","Presentes Criativos",PLA Premium,imagem-conceitual,4,true,0.83,0,BLOCKED,placeholder,"All 4 images are placeholder text cards (uniform_size_text_card)"
csv-cha-023,csv-cha-023-chaveiro-metalizado-knife-cs2-edicao-nerd-para-colecao-e-presente-criativo,"Chaveiro Metalizado Knife CS2 Edição Nerd para Coleção e Presente Criativo","Presentes Criativos",PLA Premium,imagem-conceitual,4,true,1,0,BLOCKED,placeholder,"All 4 images are placeholder text cards (uniform_size_text_card)"
csv-cha-024,csv-cha-024-chaveiro-3d-defuse-cs2-mini-pingente-decorativo-para-mochila-e-setup,"Chaveiro 3D Defuse CS2 Mini Pingente Decorativo para Mochila e Setup","Presentes Criativos",PLA Premium,imagem-conceitual,4,true,0.87,0,BLOCKED,placeholder,"All 4 images are placeholder text cards (uniform_size_text_card)"
csv-cha-025,csv-cha-025-chaveiro-acrilico-premium-los-santos-gta-v-dupla-face-para-mochila-chaves-e-setup-gamer,"Chaveiro Acrílico Premium Los Santos GTA V Dupla Face para Mochila, Chaves e Setup Gamer","Presentes Criativos",PLA Premium,imagem-conceitual,4,false,0.85,0.85,FIX_TEXT,probable,"Has real images but classified as imagem-conceitual — reclassify visualKind"
csv-cha-026,csv-cha-026-chaveiro-emborrachado-franklin-gta-v-estilo-gamer-resistente-para-chaves-e-mochila,"Chaveiro Emborrachado Franklin GTA V Estilo Gamer Resistente para Chaves e Mochila","Presentes Criativos",PLA Premium,imagem-conceitual,4,true,0.85,0,BLOCKED,placeholder,"All 4 images are placeholder text cards (uniform_size_text_card)"
